Product ID,Product Name,Brand,Current Price,Original Price,Discount,Rating,Reviews,Stock Status,SellerInfo,CATEGORY
CO645MW33ORRJNAFAMZ,Colins Man BLACK PANTS,Colins,"EGP 1,190.00","EGP 1,449.00",18%,0,0 reviews,Available,ColinsEG,Fashion
CO645MW20AY3JNAFAMZ,Colins Man NAVY POLO T-SHIRT SHORT SLEEVE,Colins,EGP 440.00,EGP 699.00,37%,0,0 reviews,Available,ColinsEG,Fashion
CO645MW3AL6NZNAFAMZ,Colins Woman BLUE PANTS,Colins,"EGP 1,390.00","EGP 1,999.00",30%,0,0 reviews,Available,ColinsEG,Fashion
CO645MW1UREGFNAFAMZ,Colins Woman SWEAT,Colins,EGP 790.00,"EGP 1,449.00",45%,0,0 reviews,Available,ColinsEG,Fashion
CO645MW2WB8CNNAFAMZ,Colins Woman BLACK PANTS,Colins,"EGP 1,190.00","EGP 1,799.00",34%,0,0 reviews,Available,ColinsEG,Fashion
CO645MW2P43NBNAFAMZ,Colins Woman YELLOW DRESS,Colins,EGP 790.00,EGP 999.00,21%,0,0 reviews,Available,ColinsEG,Fashion
CO645MW2V8EZ3NAFAMZ,Colins Man BLACK T-SHIRT SHORT SLEEVE,Colins,EGP 390.00,EGP 599.00,35%,0,0 reviews,Available,ColinsEG,Fashion
CO645MW1RCSVJNAFAMZ,Colins Man  POLO T-SHIRT SHORT SLEEVE,Colins,EGP 440.00,EGP 699.00,37%,0,See More Offers,Available,ColinsEG,Fashion
CO645MW2K2BNZNAFAMZ,Colins Woman GREEN T-SHIRT SHORT SLEEVE,Colins,EGP 290.00,EGP 449.00,35%,0,See More Offers,Available,ColinsEG,Fashion
CO645MW1R6STRNAFAMZ,Colins Man RED SHIRT LONG SLEEVE,Colins,EGP 690.00,"EGP 1,099.00",37%,0,0 reviews,Available,ColinsEG,Fashion
CO645MW26S5XJNAFAMZ,Colins Man DENIM PANTS,Colins,"EGP 1,490.00","EGP 1,999.00",25%,5,(1 verified rating),Available,ColinsEG,Fashion
CO645MW2P90CFNAFAMZ,Colins Man NAVY POLO T-SHIRT SHORT SLEEVE,Colins,EGP 790.00,"EGP 1,199.00",34%,0,See More Offers,Available,ColinsEG,Fashion
CO645MW2H5ASVNAFAMZ,Colins Woman GREEN T-SHIRT SHORT SLEEVE,Colins,EGP 390.00,EGP 579.00,33%,0,See More Offers,Available,ColinsEG,Fashion
AD537FS0106BRNAFAMZ,ADIDAS LIT48 Advantage Base Tennis Shoes - Ftwr White,ADIDAS,"EGP 2,245.08 - EGP 2,252.54","EGP 4,599.00",51%,4.7,(149 verified ratings),Available,Jumia,Fashion
AD537FS0YVQNBNAFAMZ,ADIDAS DBF11 Adilette Aqua Swim Sandals/Slippers - Core Black,ADIDAS,EGP 790.48 - EGP 793.15,"EGP 1,599.00",51%,4.5,(312 verified ratings),Available,Jumia,Fashion
AD537LU05H45TNAFAMZ,ADIDAS RF082   Motion Linear Backpack- Black,ADIDAS,"EGP 1,079.98","EGP 2,099.00",49%,4.5,(185 verified ratings),Available,Jumia,Fashion
AD537FS1SKJ7BNAFAMZ,ADIDAS IE8918 Adilette Aqua Slides,ADIDAS,"EGP 876.42 - EGP 1,068.81","EGP 1,599.00",45%,4.1,(12 verified ratings),Available,Jumia,Fashion
AD537LU1GICY9NAFAMZ,ADIDAS CE861 Training Endurance Packing System Backpack- Black,ADIDAS,"EGP 2,630.21","EGP 4,999.00",47%,4,(14 verified ratings),Available,Jumia,Fashion
AD537LU15UP81NAFAMZ,ADIDAS NCY14   4Nwnl Backpack- Black,ADIDAS,"EGP 4,419.11","EGP 8,999.00",51%,5,(2 verified ratings),Available,Jumia,Fashion
CO645MW30U4JRNAFAMZ,Colins Woman YELLOW DRESS,Colins,EGP 990.00,"EGP 1,299.00",24%,0,0 reviews,Available,ColinsEG,Fashion
AD537LU006CVLNAFAMZ,ADIDAS NCM88   Must Haves Seasonal Backpack- Black,ADIDAS,"EGP 1,800.64","EGP 3,499.00",49%,5,(5 verified ratings),Available,Jumia,Fashion
CO645MW1VH4DRNAFAMZ,Colins Woman RED SKIRT,Colins,EGP 690.00,EGP 999.00,31%,0,0 reviews,Available,ColinsEG,Fashion
